stulD,q0401a,q0401b,q0401c,q0401d,q0401e,q0401f,q0401g,q0401h,q0401i,q0401j,q0401k,q0401l,q0401m,q0401n,q0401o,q0401p,q0401q,q0402,q0403,q0404,q0405,q0406,q0407,q0408,q0409,年级,年份,市
100101,2,2,2,2,3,2,2,2,2,2,2,2,4,4,4,4,4,1,2,1,2,1,,,1,2,2020,5
100102,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,2225.0,8.0,2,2,2020,5
100103,2,3,1,3,3,2,3,2,4,2,1,3,4,5,4,4,5,1,1,1,1,1,2300.0,6.5,2,2,2020,5
100104,1,1,1,1,2,3,3,4,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2235.0,9.0,4,2,2020,5
100105,3,4,2,3,4,3,3,1,4,3,1,2,3,4,4,3,3,1,1,1,1,1,2240.0,6.3,3,2,2020,5
100106,2,4,4,4,5,3,5,4,5,4,2,4,4,5,4,3,3,1,1,2,2,1,2230.0,8.0,2,2,2020,5
100107,1,3,4,3,3,3,3,3,3,2,2,4,4,4,4,4,4,1,2,2,2,1,2235.0,7.0,3,2,2020,5
100108,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,1,2,2,2,1,9999.0,4.0,2,2,2020,5
100109,3,3,1,4,3,3,4,3,5,2,4,1,3,5,3,3,4,2,1,1,1,1,2300.0,7.0,3,2,2020,5
100110,2,2,2,2,3,2,1,2,2,3,3,3,3,2,2,1,2,1,2,2,2,1,2240.0,7.0,1,2,2020,5
100111,2,2,1,1,3,2,2,2,3,3,1,3,4,4,3,4,4,1,1,1,2,1,9999.0,5.5,2,2,2020,5
100112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2200.0,7.0,1,2,2020,5
100113,2,4,3,3,5,3,4,3,5,3,4,3,2,5,5,5,3,1,1,1,1,1,2300.0,7.0,3,2,2020,5
100114,3,4,1,4,4,3,4,3,5,3,1,1,4,5,3,4,2,1,2,1,2,1,9999.0,8.0,3,2,2020,5
100115,2,2,2,2,3,3,2,2,3,3,3,3,3,4,3,2,3,1,2,2,2,2,2300.0,7.0,2,2,2020,5
100116,3,4,3,3,4,3,3,3,5,4,1,1,2,5,4,4,5,1,1,2,2,1,9999.0,5.0,2,2,2020,5
100117,2,2,1,2,2,2,2,3,2,3,2,4,4,5,4,4,5,1,1,1,1,1,2250.0,7.0,2,2,2020,5
100118,2,2,1,2,2,2,3,3,3,3,3,3,3,1,4,1,2,2,1,2,2,1,9999.0,5.0,1,2,2020,5
100119,4,5,5,4,5,4,4,4,5,3,1,1,2,4,3,1,5,1,1,3,1,2,2300.0,5.5,4,2,2020,5
100120,3,1,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,1,2,1,2,1,2200.0,8.5,1,2,2020,5
123342,4,4,2,3,3,3,4,2,4,2,2,3,4,4,4,3,4,1,2,1,2,1,2235.0,6.5,3,2,2020,5
100121,1,3,3,4,4,2,4,3,4,3,3,3,4,4,4,4,4,1,1,1,1,1,9999.0,6.0,3,2,2020,5
100122,4,4,5,3,4,1,5,2,4,3,1,3,5,5,5,5,5,1,1,1,1,1,2240.0,7.0,1,2,2020,5
100123,2,4,2,3,3,3,2,2,2,3,2,2,4,4,3,3,4,1,2,1,1,1,,,2,2,2020,5
100124,4,5,4,5,5,3,4,4,5,5,4,4,5,5,5,3,4,1,1,2,1,2,0.0,7.0,4,2,2020,5
100125,3,4,4,3,5,4,3,1,5,2,1,1,1,2,3,1,2,1,1,2,2,1,2200.0,7.0,1,2,2020,5
100126,2,3,4,3,5,2,1,2,5,1,1,4,3,5,3,5,3,1,2,1,2,1,2235.0,6.5,3,2,2020,5
100127,1,2,2,2,3,2,2,2,3,2,2,2,3,5,5,3,3,1,2,1,2,1,2300.0,8.0,1,2,2020,5
100128,4,3,2,3,5,4,2,3,5,2,1,4,5,5,5,1,3,1,1,1,2,1,2235.0,7.0,2,2,2020,5
100129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2230.0,6.0,2,2,2020,5
100130,2,4,1,1,3,3,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2235.0,7.0,2,2,2020,5
100131,3,3,3,3,5,2,4,3,5,3,2,4,2,5,3,3,3,1,1,1,1,1,2250.0,6.0,3,2,2020,5
100132,3,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,1,2,1,2,1,,,1,2,2020,5
100133,2,4,4,3,5,1,3,1,2,1,1,4,5,4,4,4,4,1,2,1,2,1,2200.0,8.0,1,2,2020,5
100134,1,1,2,1,2,1,2,1,3,2,1,4,3,4,3,3,3,1,2,1,2,1,0.0,6.5,3,2,2020,5
100135,2,2,4,4,4,2,3,1,3,3,1,4,5,4,4,4,4,1,2,1,2,1,2315.0,11.0,3,2,2020,5
