stulD,年份,市,民族,性别,出生年,出生月,身高/cm,体重/kg,肺活量/ml,50米跑/秒,坐位体前屈/cm,立定跳远/cm,1分钟跳绳,立定跳远/跳绳,800米（女）,1000米（男）,800米/1000/50*8,50*8,引体向上（男）,1分钟仰卧起坐（女）
129333,2015,5,1,1,1998,9,179,58.0,3750,7.15,7.0,2.08,,,,4'10,,,10.0,
129334,2015,5,1,1,1999,9,183,71.0,3460,7.3,16.0,2.38,,,,3'26,,,5.0,
129335,2015,5,1,1,1999,1,174,60.0,3200,7.63,3.0,2.0,,,,4'10,,,11.0,
129336,2015,5,1,1,1999,4,173,75.0,3000,7.9,5.0,2.2,,,,3'47,,,16.0,
129337,2015,5,1,1,1999,1,172,65.0,3940,7.01,4.9,2.1,,,,3'56,,,18.0,
129338,2015,5,1,2,1998,10,163,51.0,2310,8.1,14.0,1.9,,,3'26,,,,,47.0
129339,2015,5,1,2,1999,9,163,55.0,2540,8.0,14.0,1.89,,,3'33,,,,,49.0
129340,2015,5,1,2,2000,4,162,61.0,2400,8.0,5.0,1.9,,,3'24,,,,,35.0
129341,2015,5,1,1,2000,10,182,92.0,3990,7.15,5.0,2.1,,,,4'20,,,1.0,
129342,2015,5,1,1,2001,12,174,59.0,3300,6.4,30.0,2.5,,,,3'30,,,10.0,
129343,2015,5,1,1,1999,1,175,69.0,3950,8.4,12.0,2.36,,,,3'51,,,2.0,
129344,2015,5,1,1,2001,4,176,72.0,2900,6.59,3.0,2.49,,,,3'44,,,10.0,
129345,2015,5,1,2,1999,10,161,44.0,1900,8.04,10.0,1.7,,,3'48,,,,,35.0
129346,2015,5,1,1,1999,6,180,95.0,4030,8.0,10.5,2.0,,,,3'56,,,8.0,
129347,2015,5,1,1,1998,2,179,58.0,4450,7.45,16.0,2.62,,,,4'01,,,18.0,
129348,2015,5,1,1,1998,11,180,75.0,5030,7.15,11.0,2.6,,,,3'30,,,9.0,
129349,2015,5,1,1,1998,12,180,75.0,3300,7.2,6.0,2.39,,,,3'24,,,17.0,
129350,2015,5,1,2,1997,5,163,45.0,3550,7.71,8.0,1.91,,,3'18,,,,,31.0
129351,2015,5,1,2,2000,12,158,52.0,2477,8.0,12.0,2.03,,,3'35,,,,,30.0
129352,2015,5,1,2,1998,3,175,56.0,3150,7.69,8.0,1.93,,,3'3,,,,,33.0
129353,2015,5,1,2,1998,9,176,52.0,3110,7.65,11.0,1.91,,,3'21,,,,,31.0
129354,2015,5,1,1,2000,8,168,52.0,2500,6.84,2.0,2.0,,,,4'30,,,1.0,
129355,2015,5,1,2,2000,9,163,60.0,1500,8.03,5.0,1.78,,,3'58,,,,,26.0
129356,2015,5,1,2,1999,10,157,55.0,1350,7.44,0.0,2.03,,,3'59,,,,,25.0
